Word,Definition,Topic,Difficulty,Synonym,Antonym
Solace,A feeling of comfort or relief when you are upset or in trouble.,general-vocabulary,MEDIUM,Comfort,Distress
Solace,A feeling of comfort or relief when you are upset or in trouble.,synonyms,MEDIUM,Comfort,Distress
Solace,A feeling of comfort or relief when you are upset or in trouble.,antonyms,MEDIUM,Comfort,Distress
Solace,A feeling of comfort or relief when you are upset or in trouble.,spellings,MEDIUM,Comfort,Distress
Exquisite,Extremely beautiful or carefully made; very pleasing.,general-vocabulary,MEDIUM,Delightful,Ugly
Exquisite,Extremely beautiful or carefully made; very pleasing.,synonyms,MEDIUM,Delightful,Ugly
Exquisite,Extremely beautiful or carefully made; very pleasing.,antonyms,MEDIUM,Delightful,Ugly
Exquisite,Extremely beautiful or carefully made; very pleasing.,spellings,MEDIUM,Delightful,Ugly
Tomb,"A place where a dead person is buried, especially a large stone structure.",general-vocabulary,EASY,Grave,Cradle
Tomb,"A place where a dead person is buried, especially a large stone structure.",synonyms,EASY,Grave,Cradle
Tomb,"A place where a dead person is buried, especially a large stone structure.",antonyms,EASY,Grave,Cradle
Tomb,"A place where a dead person is buried, especially a large stone structure.",spellings,EASY,Grave,Cradle
Prepared,Made ready for something; equipped or organised in advance.,general-vocabulary,EASY,Ready,Unready
Prepared,Made ready for something; equipped or organised in advance.,synonyms,EASY,Ready,Unready
Prepared,Made ready for something; equipped or organised in advance.,antonyms,EASY,Ready,Unready
Prepared,Made ready for something; equipped or organised in advance.,spellings,EASY,Ready,Unready
Cite,"To refer to something as evidence, or to repeat someone's words.",general-vocabulary,MEDIUM,Quote,Ignore
Cite,"To refer to something as evidence, or to repeat someone's words.",synonyms,MEDIUM,Quote,Ignore
Cite,"To refer to something as evidence, or to repeat someone's words.",antonyms,MEDIUM,Quote,Ignore
Cite,"To refer to something as evidence, or to repeat someone's words.",spellings,MEDIUM,Quote,Ignore
Strange,Odd or unusual; not familiar.,general-vocabulary,EASY,Unusual,Normal
Strange,Odd or unusual; not familiar.,synonyms,EASY,Unusual,Normal
Strange,Odd or unusual; not familiar.,antonyms,EASY,Unusual,Normal
Strange,Odd or unusual; not familiar.,spellings,EASY,Unusual,Normal
Vitality,Liveliness and strength; the power to stay active and healthy.,general-vocabulary,MEDIUM,Energy,Lethargy
Vitality,Liveliness and strength; the power to stay active and healthy.,synonyms,MEDIUM,Energy,Lethargy
Vitality,Liveliness and strength; the power to stay active and healthy.,antonyms,MEDIUM,Energy,Lethargy
Vitality,Liveliness and strength; the power to stay active and healthy.,spellings,MEDIUM,Energy,Lethargy
Wade,"To walk through water or a difficult substance, moving slowly and carefully.",general-vocabulary,EASY,Paddle,Fly
Wade,"To walk through water or a difficult substance, moving slowly and carefully.",synonyms,EASY,Paddle,Fly
Wade,"To walk through water or a difficult substance, moving slowly and carefully.",antonyms,EASY,Paddle,Fly
Wade,"To walk through water or a difficult substance, moving slowly and carefully.",spellings,EASY,Paddle,Fly
Displace,To move something from its usual place; to take the place of something else.,general-vocabulary,MEDIUM,Move,Reinstate
Displace,To move something from its usual place; to take the place of something else.,synonyms,MEDIUM,Move,Reinstate
Displace,To move something from its usual place; to take the place of something else.,antonyms,MEDIUM,Move,Reinstate
Displace,To move something from its usual place; to take the place of something else.,spellings,MEDIUM,Move,Reinstate
Decoy,Something used to trick or attract someone or something into a trap.,general-vocabulary,MEDIUM,Lure,Warning
Decoy,Something used to trick or attract someone or something into a trap.,synonyms,MEDIUM,Lure,Warning
Decoy,Something used to trick or attract someone or something into a trap.,antonyms,MEDIUM,Lure,Warning
Decoy,Something used to trick or attract someone or something into a trap.,spellings,MEDIUM,Lure,Warning
Ugly,Unpleasant to look at; very unattractive.,general-vocabulary,EASY,Hideous,Beautiful
Ugly,Unpleasant to look at; very unattractive.,synonyms,EASY,Hideous,Beautiful
Ugly,Unpleasant to look at; very unattractive.,antonyms,EASY,Hideous,Beautiful
Ugly,Unpleasant to look at; very unattractive.,spellings,EASY,Hideous,Beautiful
Book,To arrange in advance; to order or reserve something (such as tickets or a table).,general-vocabulary,EASY,Reserve,Cancel
Book,To arrange in advance; to order or reserve something (such as tickets or a table).,synonyms,EASY,Reserve,Cancel
Book,To arrange in advance; to order or reserve something (such as tickets or a table).,antonyms,EASY,Reserve,Cancel
Book,To arrange in advance; to order or reserve something (such as tickets or a table).,spellings,EASY,Reserve,Cancel
Rural,Relating to the countryside rather than the town or city.,general-vocabulary,MEDIUM,Pastoral,Urban
Rural,Relating to the countryside rather than the town or city.,synonyms,MEDIUM,Pastoral,Urban
Rural,Relating to the countryside rather than the town or city.,antonyms,MEDIUM,Pastoral,Urban
Rural,Relating to the countryside rather than the town or city.,spellings,MEDIUM,Pastoral,Urban
Key,Very important; necessary for success or understanding.,general-vocabulary,EASY,Crucial,Minor
Key,Very important; necessary for success or understanding.,synonyms,EASY,Crucial,Minor
Key,Very important; necessary for success or understanding.,antonyms,EASY,Crucial,Minor
Key,Very important; necessary for success or understanding.,spellings,EASY,Crucial,Minor
Impact,"A strong effect on something, or the act of one object hitting another.",general-vocabulary,EASY,Collision,Avoidance
Impact,"A strong effect on something, or the act of one object hitting another.",synonyms,EASY,Collision,Avoidance
Impact,"A strong effect on something, or the act of one object hitting another.",antonyms,EASY,Collision,Avoidance
Impact,"A strong effect on something, or the act of one object hitting another.",spellings,EASY,Collision,Avoidance
Convey,"To communicate or make an idea, feeling, or message understood; to carry or transport.",general-vocabulary,MEDIUM,Communicate,Conceal
Convey,"To communicate or make an idea, feeling, or message understood; to carry or transport.",synonyms,MEDIUM,Communicate,Conceal
Convey,"To communicate or make an idea, feeling, or message understood; to carry or transport.",antonyms,MEDIUM,Communicate,Conceal
Convey,"To communicate or make an idea, feeling, or message understood; to carry or transport.",spellings,MEDIUM,Communicate,Conceal
Unstable,Not steady or secure; likely to change suddenly or behave unpredictably.,general-vocabulary,EASY,Volatile,Stable
Unstable,Not steady or secure; likely to change suddenly or behave unpredictably.,synonyms,EASY,Volatile,Stable
Unstable,Not steady or secure; likely to change suddenly or behave unpredictably.,antonyms,EASY,Volatile,Stable
Unstable,Not steady or secure; likely to change suddenly or behave unpredictably.,spellings,EASY,Volatile,Stable
Hallucinate,"To see, hear, or sense things that are not really there.",general-vocabulary,MEDIUM,Fantasize,Perceive
Hallucinate,"To see, hear, or sense things that are not really there.",synonyms,MEDIUM,Fantasize,Perceive
Hallucinate,"To see, hear, or sense things that are not really there.",antonyms,MEDIUM,Fantasize,Perceive
Hallucinate,"To see, hear, or sense things that are not really there.",spellings,MEDIUM,Fantasize,Perceive
Dilute,To make something less strong by adding another substance or reducing its strength.,general-vocabulary,MEDIUM,Weaken,Concentrate
Dilute,To make something less strong by adding another substance or reducing its strength.,synonyms,MEDIUM,Weaken,Concentrate
Dilute,To make something less strong by adding another substance or reducing its strength.,antonyms,MEDIUM,Weaken,Concentrate
Dilute,To make something less strong by adding another substance or reducing its strength.,spellings,MEDIUM,Weaken,Concentrate
Tough,Strong and difficult to break or defeat; not giving way easily.,general-vocabulary,EASY,Stubborn,Tender
Tough,Strong and difficult to break or defeat; not giving way easily.,synonyms,EASY,Stubborn,Tender
Tough,Strong and difficult to break or defeat; not giving way easily.,antonyms,EASY,Stubborn,Tender
Tough,Strong and difficult to break or defeat; not giving way easily.,spellings,EASY,Stubborn,Tender
Little,Not big in size or amount; small.,general-vocabulary,EASY,Small,Large
Little,Not big in size or amount; small.,synonyms,EASY,Small,Large
Little,Not big in size or amount; small.,antonyms,EASY,Small,Large
Little,Not big in size or amount; small.,spellings,EASY,Small,Large
Good,Of a high standard or quality; very satisfactory.,general-vocabulary,EASY,Excellent,Bad
Good,Of a high standard or quality; very satisfactory.,synonyms,EASY,Excellent,Bad
