Word,Definition,Topic,Difficulty,Synonym,Antonym
Abundant,Existing or available in large quantities; plentiful.,general-vocabulary,EASY,Plentiful,Scarce
Adversity,A state or instance of serious or continued difficulty or misfortune.,general-vocabulary,HARD,Hardship,Prosperity
Affluent,Having a great deal of money; wealthy.,general-vocabulary,MEDIUM,Wealthy,Poor
Aggressive,Ready or likely to attack or confront; characterized by aggression.,spellings,EASY,Hostile,Peaceful
Ambiguous,Open to more than one interpretation; not having one obvious meaning.,general-vocabulary,HARD,Vague,Clear
Ample,Enough or more than enough; plentiful.,synonyms,EASY,Spacious,Insufficient
Anonymity,"The condition of being anonymous; lack of outstanding, marked, or peculiar features.",spellings,MEDIUM,Namelessness,Fame
Arid,Having little or no rain; too dry or barren to support vegetation.,general-vocabulary,EASY,Dry,Wet
Benevolent,Well meaning and kindly.,synonyms,MEDIUM,Kind,Malevolent
Candid,Truthful and straightforward; frank.,general-vocabulary,MEDIUM,Frank,Deceitful
Cautious,Careful to avoid potential problems or dangers.,spellings,EASY,Wary,Reckless
Clamor,"A loud and confused noise, especially that of people shouting vehemently.",general-vocabulary,HARD,Uproar,Silence
Coerce,Persuade an unwilling person to do something by using force or threats.,antonyms,HARD,Compel,Allow
Compassion,Sympathetic pity and concern for the sufferings or misfortunes of others.,general-vocabulary,EASY,Empathy,Cruelty
Concise,Giving a lot of information clearly and in a few words; brief but comprehensive.,synonyms,MEDIUM,Brief,Wordy
Condemn,"Express complete disapproval of, typically in public; censure.",antonyms,MEDIUM,Censure,Praise
Conspicuous,Standing out so as to be clearly visible.,general-vocabulary,HARD,Noticeable,Hidden
Defiant,Showing defiance; boldly resistant or challenging.,antonyms,EASY,Rebellious,Obedient
Diligent,Having or showing care and conscientiousness in one's work or duties.,synonyms,MEDIUM,Industrious,Lazy
Diminish,Make or become less.,general-vocabulary,EASY,Decrease,Increase
Diverse,Showing a great deal of variety; very different.,general-vocabulary,EASY,Varied,Identical
Dormant,Having normal physical functions suspended or slowed down for a period of time; in or as if in a deep sleep.,antonyms,MEDIUM,Inactive,Active
Eloquent,Fluent or persuasive in speaking or writing.,synonyms,HARD,Articulate,Inarticulate
Empathy,The ability to understand and share the feelings of another.,general-vocabulary,MEDIUM,Understanding,Apathy
Endure,Suffer something painful or difficult patiently.,general-vocabulary,EASY,Tolerate,Surrender
Enormous,"Very large in size, quantity, or extent.",spellings,EASY,Huge,Tiny
Frugal,Sparing or economical with regard to money or food.,antonyms,HARD,Thrifty,Extravagant
Generic,Characteristic of or relating to a class or group of things; not specific.,general-vocabulary,MEDIUM,General,Specific
Gloomy,"Dark or poorly lit, especially so as to appear depressing or frightening.",synonyms,EASY,Somber,Cheerful
Hostile,Unfriendly; antagonistic.,antonyms,EASY,Unfriendly,Friendly
Impulsive,Acting or done without forethought.,general-vocabulary,MEDIUM,Rash,Cautious
Indifferent,Having no particular interest or sympathy; unconcerned.,antonyms,MEDIUM,Unconcerned,Caring
Inevitable,Certain to happen; unavoidable.,general-vocabulary,HARD,Unavoidable,Avoidable
Infamous,Well known for some bad quality or deed.,synonyms,MEDIUM,Notorious,Reputable
Ingenious,"Clever, original, and inventive.",general-vocabulary,HARD,Clever,Clumsy
Insolent,Showing a rude and arrogant lack of respect.,antonyms,HARD,Rude,Polite
Jubilant,Feeling or expressing great happiness and triumph.,synonyms,MEDIUM,Overjoyed,Sorrowful
Linger,Stay in a place longer than necessary because of a reluctance to leave.,general-vocabulary,EASY,Remain,Leave
Lucrative,Producing a great deal of profit.,general-vocabulary,HARD,Profitable,Unprofitable
Meticulous,Showing great attention to detail; very careful and precise.,synonyms,HARD,Thorough,Careless
Obsolete,No longer produced or used; out of date.,antonyms,HARD,Outdated,Modern
Ominous,Giving the impression that something bad or unpleasant is going to happen.,general-vocabulary,MEDIUM,Threatening,Promising
Optimistic,Hopeful and confident about the future.,antonyms,EASY,Hopeful,Pessimistic
Peculiar,Strange or odd; unusual.,spellings,EASY,Strange,Normal
Plausible,Seeming reasonable or probable.,synonyms,HARD,Credible,Implausible
Precise,Marked by exactness and accuracy of expression or detail.,spellings,MEDIUM,Exact,Inaccurate
Reluctant,Unwilling and hesitant; disinclined.,antonyms,MEDIUM,Unwilling,Eager
Resilient,Able to withstand or recover quickly from difficult conditions.,general-vocabulary,HARD,Tough,Fragile
Scarcity,The state of being scarce or in short supply; shortage.,antonyms,MEDIUM,Shortage,Abundance
Solitary,Done or existent alone.,synonyms,EASY,Lonely,Social
Subtle,So delicate or precise as to be difficult to analyze or describe.,spellings,HARD,Understated,Overt
Superfluous,"Unnecessary, especially through being more than enough.",general-vocabulary,HARD,Excess,Essential
Timid,Showing a lack of courage or confidence; easily frightened.,synonyms,EASY,Shy,Bold
Tranquil,Free from disturbance; calm.,synonyms,MEDIUM,Peaceful,Stormy
Unanimous,Fully in agreement.,spellings,HARD,United,Divided
Unique,Being the only one of its kind; unlike anything else.,spellings,EASY,Distinctive,Common
Urgent,Requiring immediate action or attention.,general-vocabulary,EASY,Critical,Unimportant
Vague,"Of uncertain, indefinite, or unclear character or meaning.",synonyms,MEDIUM,Indistinct,Clear
Valiant,Possessing or showing courage or determination.,synonyms,MEDIUM,Brave,Cowardly
Vanish,Disappear suddenly and completely.,antonyms,EASY,Disappear,Appear
Versatile,Able to adapt or be adapted to many different functions or activities.,general-vocabulary,HARD,Adaptable,Rigid
Vibrant,Full of energy and enthusiasm.,general-vocabulary,MEDIUM,Lively,Dull
Vigilant,Keeping careful watch for possible danger or difficulties.,synonyms,HARD,Watchful,Negligent
Vital,Absolutely necessary or important; essential.,general-vocabulary,EASY,Essential,Trivial
Vivid,"Producing powerful feelings or strong, clear images in the mind.",general-vocabulary,EASY,Bright,Faint
Vulnerable,Exposed to the possibility of being attacked or harmed.,general-vocabulary,HARD,Exposed,Protected
Wary,Feeling or showing caution about possible dangers or problems.,synonyms,MEDIUM,Cautious,Trusting
Witty,Showing or characterized by quick and inventive verbal humor.,general-vocabulary,MEDIUM,Clever,Dull
Zealous,Having or showing zeal; passionate and enthusiastic.,synonyms,HARD,Passionate,Apathetic
Acknowledge,Accept or admit the existence or truth of.,spellings,MEDIUM,Admit,Deny
Acquire,Buy or obtain for oneself.,spellings,EASY,Obtain,Lose
Apparent,Clearly visible or understood; obvious.,spellings,MEDIUM,Obvious,Hidden
Barren,Too poor to produce much or any vegetation.,antonyms,EASY,Unfruitful,Fertile
Coincidence,A remarkable concurrence of events or circumstances without apparent causal connection.,spellings,HARD,Chance,Design
Commence,Begin; start.,synonyms,MEDIUM,Begin,Finish
Comply,Act in accordance with a wish or command.,antonyms,MEDIUM,Obey,Disobey
Deceive,Cause someone to believe something that is not true in order to gain a personal advantage.,spellings,MEDIUM,Mislead,Guide
Deteriorate,Become progressively worse.,spellings,HARD,Worsen,Improve
Dispreparate,Essentially different in kind; not allowing comparison.,spellings,HARD,Distinct,Similar
Eccentric,Unconventional and slightly strange.,spellings,HARD,Unconventional,Normal
Gargantuan,Enormously large or huge.,general-vocabulary,HARD,Gigantic,Tiny
Hinder,"Create difficulties for someone or something, resulting in delay or obstruction.",antonyms,EASY,Impede,Help
Illuminate,Light up or make visible.,synonyms,MEDIUM,Brighten,Darken
Impeccable,In accordance with the highest standards; faultless.,general-vocabulary,HARD,Flawless,Flawed
Luminous,Full of or shedding light; bright or shining.,general-vocabulary,MEDIUM,Radiant,Dim
Nostalgia,A sentimental longing or wistful affection for the past.,general-vocabulary,HARD,Longing,Indifference
Permeate,Spread throughout something; pervade.,general-vocabulary,HARD,Pervade,Evacuate
Restrain,Prevent someone or something from doing something; keep under control.,antonyms,MEDIUM,Suppress,Release
Transient,Lasting only for a short time; impermanent.,general-vocabulary,HARD,Temporary,Permanent
Withstand,Remain undamaged or unaffected by; resist.,synonyms,MEDIUM,Resist,Yield
