Word,Definition,Topic,Difficulty,Synonym,Antonym
Strict,Demanding that rules are obeyed; not allowing exceptions.,general-vocabulary,EASY,"Harsh, Severe","Lenient, Lax, Indulgent"
Strict,Demanding that rules are obeyed; not allowing exceptions.,synonyms,EASY,"Harsh, Severe","Lenient, Lax, Indulgent"
Strict,Demanding that rules are obeyed; not allowing exceptions.,antonyms,EASY,"Harsh, Severe","Lenient, Lax, Indulgent"
Strict,Demanding that rules are obeyed; not allowing exceptions.,spellings,EASY,"Harsh, Severe","Lenient, Lax, Indulgent"
Convenient,Easy to use or helpful for a particular purpose.,general-vocabulary,EASY,"Handy, Useful","Inconvenient, Awkward, Unsuitable"
Convenient,Easy to use or helpful for a particular purpose.,synonyms,EASY,"Handy, Useful","Inconvenient, Awkward, Unsuitable"
Convenient,Easy to use or helpful for a particular purpose.,antonyms,EASY,"Handy, Useful","Inconvenient, Awkward, Unsuitable"
Convenient,Easy to use or helpful for a particular purpose.,spellings,EASY,"Handy, Useful","Inconvenient, Awkward, Unsuitable"
Plummet,To fall or drop straight down very quickly.,general-vocabulary,MEDIUM,"Dive, Drop","Soar, Ascend, Rise"
Plummet,To fall or drop straight down very quickly.,synonyms,MEDIUM,"Dive, Drop","Soar, Ascend, Rise"
Plummet,To fall or drop straight down very quickly.,antonyms,MEDIUM,"Dive, Drop","Soar, Ascend, Rise"
Plummet,To fall or drop straight down very quickly.,spellings,MEDIUM,"Dive, Drop","Soar, Ascend, Rise"
Exuberant,"Full of energy, excitement, and cheerful enthusiasm.",general-vocabulary,HARD,"Bouncy, Lively","Subdued, Melancholy, Lethargic"
Exuberant,"Full of energy, excitement, and cheerful enthusiasm.",synonyms,HARD,"Bouncy, Lively","Subdued, Melancholy, Lethargic"
Exuberant,"Full of energy, excitement, and cheerful enthusiasm.",antonyms,HARD,"Bouncy, Lively","Subdued, Melancholy, Lethargic"
Exuberant,"Full of energy, excitement, and cheerful enthusiasm.",spellings,HARD,"Bouncy, Lively","Subdued, Melancholy, Lethargic"
Rank,"To place things in order according to quality, importance, etc.",general-vocabulary,EASY,"Arrange, Sort","Disorder, Disorganize, Scatter"
Rank,"To place things in order according to quality, importance, etc.",synonyms,EASY,"Arrange, Sort","Disorder, Disorganize, Scatter"
Rank,"To place things in order according to quality, importance, etc.",antonyms,EASY,"Arrange, Sort","Disorder, Disorganize, Scatter"
Rank,"To place things in order according to quality, importance, etc.",spellings,EASY,"Arrange, Sort","Disorder, Disorganize, Scatter"
Thick / Unclear,Difficult to see through or understand.,general-vocabulary,MEDIUM,"Murky, Opaque","Clear, Transparent, Lucid"
Thick / Unclear,Difficult to see through or understand.,synonyms,MEDIUM,"Murky, Opaque","Clear, Transparent, Lucid"
Thick / Unclear,Difficult to see through or understand.,antonyms,MEDIUM,"Murky, Opaque","Clear, Transparent, Lucid"
Thick / Unclear,Difficult to see through or understand.,spellings,MEDIUM,"Murky, Opaque","Clear, Transparent, Lucid"
Sole,Being the only one; single and not shared.,general-vocabulary,EASY,"Lone, Only","Multiple, Shared, Collective"
Sole,Being the only one; single and not shared.,synonyms,EASY,"Lone, Only","Multiple, Shared, Collective"
Sole,Being the only one; single and not shared.,antonyms,EASY,"Lone, Only","Multiple, Shared, Collective"
Sole,Being the only one; single and not shared.,spellings,EASY,"Lone, Only","Multiple, Shared, Collective"
Manifold,Many and of different kinds.,general-vocabulary,HARD,"Myriad, Numerous","Single, Few, Uniform"
Manifold,Many and of different kinds.,synonyms,HARD,"Myriad, Numerous","Single, Few, Uniform"
Manifold,Many and of different kinds.,antonyms,HARD,"Myriad, Numerous","Single, Few, Uniform"
Manifold,Many and of different kinds.,spellings,HARD,"Myriad, Numerous","Single, Few, Uniform"
Promote,To support or help something progress or develop.,general-vocabulary,EASY,"Facilitate, Advance","Demote, Hinder, Obstruct"
Promote,To support or help something progress or develop.,synonyms,EASY,"Facilitate, Advance","Demote, Hinder, Obstruct"
Promote,To support or help something progress or develop.,antonyms,EASY,"Facilitate, Advance","Demote, Hinder, Obstruct"
Promote,To support or help something progress or develop.,spellings,EASY,"Facilitate, Advance","Demote, Hinder, Obstruct"
Ornate,Richly and heavily decorated with complex patterns.,general-vocabulary,HARD,"Highly decorated, Embellished","Plain, Simple, Austere"
Ornate,Richly and heavily decorated with complex patterns.,synonyms,HARD,"Highly decorated, Embellished","Plain, Simple, Austere"
Ornate,Richly and heavily decorated with complex patterns.,antonyms,HARD,"Highly decorated, Embellished","Plain, Simple, Austere"
Ornate,Richly and heavily decorated with complex patterns.,spellings,HARD,"Highly decorated, Embellished","Plain, Simple, Austere"
Thwart,To stop something from happening or succeeding.,general-vocabulary,HARD,"Prevent, Foil","Assist, Encourage, Facilitate"
Thwart,To stop something from happening or succeeding.,synonyms,HARD,"Prevent, Foil","Assist, Encourage, Facilitate"
Thwart,To stop something from happening or succeeding.,antonyms,HARD,"Prevent, Foil","Assist, Encourage, Facilitate"
Thwart,To stop something from happening or succeeding.,spellings,HARD,"Prevent, Foil","Assist, Encourage, Facilitate"
Immune,Protected from something; not affected by it.,general-vocabulary,EASY,"Resistant, Exempt","Susceptible, Vulnerable, Exposed"
Immune,Protected from something; not affected by it.,synonyms,EASY,"Resistant, Exempt","Susceptible, Vulnerable, Exposed"
Immune,Protected from something; not affected by it.,antonyms,EASY,"Resistant, Exempt","Susceptible, Vulnerable, Exposed"
Immune,Protected from something; not affected by it.,spellings,EASY,"Resistant, Exempt","Susceptible, Vulnerable, Exposed"
Furtive,Done in a secretive way to avoid notice.,general-vocabulary,HARD,"Stealthy, Crafty","Overt, Open, Honest"
Furtive,Done in a secretive way to avoid notice.,synonyms,HARD,"Stealthy, Crafty","Overt, Open, Honest"
Furtive,Done in a secretive way to avoid notice.,antonyms,HARD,"Stealthy, Crafty","Overt, Open, Honest"
Furtive,Done in a secretive way to avoid notice.,spellings,HARD,"Stealthy, Crafty","Overt, Open, Honest"
Breach,"An act of breaking a rule, or a gap in a wall or barrier.",general-vocabulary,MEDIUM,"Break, Rupture","Uphold, Repair, Bridge"
Breach,"An act of breaking a rule, or a gap in a wall or barrier.",synonyms,MEDIUM,"Break, Rupture","Uphold, Repair, Bridge"
Breach,"An act of breaking a rule, or a gap in a wall or barrier.",antonyms,MEDIUM,"Break, Rupture","Uphold, Repair, Bridge"
Breach,"An act of breaking a rule, or a gap in a wall or barrier.",spellings,MEDIUM,"Break, Rupture","Uphold, Repair, Bridge"
Congenial,Friendly and enjoyable; well-suited to your tastes.,general-vocabulary,HARD,"Pleasant, Appealing","Unpleasant, Hostile, Disagreeable"
Congenial,Friendly and enjoyable; well-suited to your tastes.,synonyms,HARD,"Pleasant, Appealing","Unpleasant, Hostile, Disagreeable"
