Word,Definition,Topic,Difficulty,Synonym,Antonym
Besmirch,To damage someone's reputation or make something dirty.,general-vocabulary,HARD,Tarnish,Honor
Arid,Extremely dry or lacking interest and excitement.,general-vocabulary,EASY,Dry,Wet
Concede,To accept something as true or to give way.,synonyms,MEDIUM,Admit,Deny
Routine,Done as a usual practice; ordinary and repeated.,general-vocabulary,EASY,Habitual,Unusual
Deterrent,Something that makes someone less likely to do something.,general-vocabulary,HARD,Discouragement,Incentive
Being,The state of existing; a living creature or entity.,general-vocabulary,EASY,Entity,Nonexistence
Useless,Not able to do anything helpful; not working or effective.,antonyms,EASY,Futile,Useful
Evacuate,To move people from a dangerous place to safety; to clear out.,general-vocabulary,MEDIUM,Abandon,Occupate
Implausible,Not seeming reasonable or probable; difficult to believe.,synonyms,HARD,Far-fetched,Plausible
Hard,Needing a lot of effort; not easy to do or understand.,general-vocabulary,EASY,Difficult,Easy
Fit,Having the right skills or qualities for a task; appropriate.,general-vocabulary,EASY,Suitable,Unsuitable
Balanced,Even and well-proportioned; not likely to tip or change suddenly.,general-vocabulary,EASY,Stable,Unstable
Orange,A colour between red and yellow; also a citrus fruit.,general-vocabulary,EASY,Amber,N/A
Then,At that time or next in order.,general-vocabulary,EASY,Afterwards,Before
Laugh,To make sounds of amusement or joy.,general-vocabulary,EASY,Chuckle,Cry
Dare,To have the courage to do something difficult or risky.,general-vocabulary,EASY,Venture,Cower
Rave,To speak wildly or very excitedly (in anger or in praise).,general-vocabulary,MEDIUM,Rant,Whisper
Pious,Deeply religious or showing strong religious feeling.,general-vocabulary,HARD,Devout,Impious
Pleasing,Giving a sense of enjoyment or satisfaction.,general-vocabulary,EASY,Appealing,Offensive
Light,To start something burning; to make light appear.,general-vocabulary,EASY,Ignite,Extinguish
Drowsy,Feeling sleepy and lacking energy.,synonyms,EASY,Sleepy,Alert
Candid,Honest and straightforward; saying what you really think.,general-vocabulary,MEDIUM,Frank,Deceitful
Questionable,"Not certain, or possibly wrong or dishonest.",general-vocabulary,MEDIUM,Dubious,Certain
Loud,Making a lot of sound; very strong in volume.,spellings,EASY,Deafening,Quiet
Vendor,A person or company that sells goods or services.,general-vocabulary,MEDIUM,Trader,Buyer
Company,The people who are with you; companionship.,general-vocabulary,EASY,Presence,Solitude
Indifferent,Not caring much; having little or no interest.,antonyms,MEDIUM,Apathetic,Caring
Luminous,Giving off light; shining brightly.,general-vocabulary,HARD,Radiant,Dark
Potential,Having the capacity to become something in the future.,general-vocabulary,MEDIUM,Possibility,Impossibility
Adoration,Deep love and admiration.,synonyms,MEDIUM,Devotion,Hatred
Confine,To keep something or someone within certain boundaries.,general-vocabulary,MEDIUM,Restrict,Release
Defeat,To win against someone or something in a contest or struggle.,general-vocabulary,EASY,Conquer,Surrender
After,Coming later in time; subsequent to something else.,general-vocabulary,EASY,Following,Before
Clump,A group of things or people that are close together.,general-vocabulary,EASY,Cluster,Individual
Savage,"Extremely violent, cruel, or uncontrolled.",synonyms,MEDIUM,Fierce,Gentle
Healing,Helping to make someone healthy again.,general-vocabulary,EASY,Restorative,Harmful
Concur,To have the same opinion; to agree with someone.,synonyms,HARD,Agree,Disagree
Offend,"To make someone feel hurt, angry, or insulted.",general-vocabulary,EASY,Irritate,Please
Ascertain,To find out or learn something for certain.,general-vocabulary,HARD,Determine,Guess
Affable,Pleasant and easy to talk to; kind and polite.,synonyms,HARD,Gracious,Unfriendly
Necessary,Needed for something to happen or be done.,spellings,EASY,Essential,Unnecessary
Relish,To take great pleasure in something.,general-vocabulary,MEDIUM,Savour,Dislike
Combust,To catch fire and begin burning.,general-vocabulary,MEDIUM,Ignite,Extinguish
Cruelty,Deliberately causing pain or suffering.,general-vocabulary,EASY,Brutality,Kindness
Renege,To go back on a promise or agreement.,general-vocabulary,HARD,Retract,Fulfill
Budding,Beginning to develop or show promise.,general-vocabulary,MEDIUM,Emerging,Fading
Ornamental,Used for decoration rather than practical use.,general-vocabulary,MEDIUM,Decorative,Functional
Fast,Moving or happening at great speed.,general-vocabulary,EASY,Rapid,Slow
Meticulous,Very careful about small details and accuracy.,synonyms,HARD,Precise,Careless
Fraction,A small piece or a part of a whole.,general-vocabulary,EASY,Portion,Whole
Mysterious,Difficult to understand or explain; full of secrets.,spellings,EASY,Enigmatic,Clear
Indefatigable,Never getting tired or giving up.,general-vocabulary,HARD,Persistent,Lazy
Significant,Having great meaning or effect.,general-vocabulary,MEDIUM,Important,Insignificant
Hefty,Big and strong; substantial in size or amount.,general-vocabulary,MEDIUM,Substantial,Light
Oil,"A thick, smooth liquid used for cooking or making machines work smoothly.",general-vocabulary,EASY,Lubricant,N/A
